Index;Date;Time;Cardio1;Saturation1;Cardio2;Saturation2;Cardio3;Saturation3;Acceleration g;Acceleration a
258;5/1/2023;6:0:25;0.00;0;0.00;0;0.00;0;3.66;1.85
259;5/1/2023;6:0:25;0.00;0;0.00;0;0.00;0;0.05;1.83
260;5/1/2023;6:0:21;0.00;0;0.00;0;0.00;0;3.66;1.84
261;5/1/2023;6:0:21;0.00;0;0.00;0;0.00;0;3.66;1.84
262;5/1/2023;6:0:21;0.00;0;0.00;0;0.00;0;3.66;1.84
263;5/1/2023;6:0:25;0.00;0;0.00;0;0.00;0;3.66;1.84
264;5/1/2023;6:0:25;0.00;0;0.00;0;0.00;0;3.66;1.84
265;5/1/2023;6:0:21;0.00;0;0.00;0;0.00;0;3.66;1.84
266;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
267;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
268;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.84
269;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.84
270;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
271;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
272;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
273;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.84
274;5/1/2023;6:0:5;0.00;0;0.00;0;0.00;0;3.66;1.84
275;5/1/2023;6:0:1;0.00;0;0.00;0;0.00;0;3.66;1.84
276;5/1/2023;6:4:1;0.00;0;0.00;0;0.00;0;3.66;1.84
277;5/1/2023;6:4:1;0.00;0;0.00;0;0.00;0;3.66;1.84
278;5/1/2023;6:4:5;0.00;0;0.00;0;0.00;0;3.66;1.84
279;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
280;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
281;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
282;5/1/2023;6:4:4;0.00;0;0.00;0;0.00;0;3.66;1.84
283;5/1/2023;6:4:4;0.00;0;0.00;0;0.00;0;3.66;1.84
284;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
285;5/1/2023;6:4:20;0.00;0;0.00;0;0.00;0;3.66;1.84
286;5/1/2023;6:4:20;0.00;0;0.00;0;0.00;0;3.66;1.84
287;5/1/2023;6:4:24;0.00;0;0.00;0;0.00;0;3.66;1.84
288;5/1/2023;6:4:24;0.00;0;0.00;0;0.00;0;3.66;1.84
289;5/1/2023;6:4:20;0.00;0;0.00;0;0.00;0;3.66;1.84
290;5/1/2023;6:4:20;0.00;0;0.00;0;0.00;0;3.66;1.84
291;5/1/2023;6:4:20;0.00;0;0.00;0;0.00;0;3.66;1.84
292;5/1/2023;6:4:24;0.00;0;0.00;0;0.00;0;3.66;1.84
293;5/1/2023;6:4:24;0.00;0;0.00;0;0.00;0;3.66;1.84
294;5/1/2023;6:4:20;0.00;0;0.00;0;0.00;0;3.66;1.84
295;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
296;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
297;5/1/2023;6:4:4;0.00;0;0.00;0;0.00;0;3.66;1.84
298;5/1/2023;6:4:4;0.00;0;0.00;0;0.00;0;3.66;1.84
299;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
300;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
301;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
302;5/1/2023;6:4:4;0.00;0;0.00;0;0.00;0;3.66;1.84
303;5/1/2023;6:4:4;0.00;0;0.00;0;0.00;0;3.66;1.84
304;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
305;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
306;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
307;5/1/2023;6:4:4;0.00;0;0.00;0;0.00;0;3.66;1.84
308;5/1/2023;6:4:4;0.00;0;0.00;0;0.00;0;3.66;1.84
309;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
310;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
311;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
312;5/1/2023;6:4:4;0.00;0;0.00;0;0.00;0;3.66;1.84
313;5/1/2023;6:4:4;0.00;0;0.00;0;0.00;0;3.66;1.84
314;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
315;5/1/2023;6:4:20;0.00;0;0.00;0;0.00;0;3.66;1.84
316;5/1/2023;6:4:20;0.00;0;0.00;0;0.00;0;3.66;1.84
317;5/1/2023;6:4:24;0.00;0;0.00;0;0.00;0;3.66;1.84
318;5/1/2023;6:4:24;0.00;0;0.00;0;0.00;0;3.66;1.84
319;5/1/2023;6:4:20;0.00;0;0.00;0;0.00;0;3.66;1.84
320;5/1/2023;6:4:20;0.00;0;0.00;0;0.00;0;3.66;1.84
321;5/1/2023;6:4:20;0.00;0;0.00;0;0.00;0;3.66;1.84
322;5/1/2023;6:4:24;0.00;0;0.00;0;0.00;0;3.66;1.84
323;5/1/2023;6:4:24;0.00;0;0.00;0;0.00;0;3.67;1.84
324;5/1/2023;6:4:20;0.00;0;0.00;0;0.00;0;3.66;1.84
325;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
326;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
327;5/1/2023;6:4:4;0.00;0;0.00;0;0.00;0;3.66;1.84
328;5/1/2023;6:4:4;0.00;0;0.00;0;0.00;0;3.66;1.84
329;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
330;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
331;5/1/2023;6:4:0;0.00;0;0.00;0;0.00;0;3.66;1.84
332;5/1/2023;6:4:4;0.00;0;0.00;0;0.00;0;3.66;1.84
